datetime,date,time,open,high,low,close,volume
2022-01-11 00:00:00,11/01/2022,00:00:00,41301.89,41723.87,41276.33,41604.58,1014.9132
2022-01-11 00:30:00,11/01/2022,00:30:00,41604.58,41698.07,41412.45,41530.2,720.60855
2022-01-11 01:00:00,11/01/2022,01:00:00,41530.19,41652.3,41205.65,41297.15,637.93262
2022-01-11 01:30:00,11/01/2022,01:30:00,41297.15,41477.77,41158.99,41346.4,573.2096
2022-01-11 02:00:00,11/01/2022,02:00:00,41346.4,41779.46,41280.0,41714.72,672.23089
2022-01-11 02:30:00,11/01/2022,02:30:00,41716.81,41985.0,41644.37,41755.85,944.94907
2022-01-11 03:00:00,11/01/2022,03:00:00,41755.85,41794.71,41562.38,41714.13,420.43358
2022-01-11 03:30:00,11/01/2022,03:30:00,41714.14,41849.45,41500.0,41714.18,462.80189
2022-01-11 04:00:00,11/01/2022,04:00:00,41714.19,41746.69,41536.25,41604.98,267.0814
2022-01-11 04:30:00,11/01/2022,04:30:00,41604.98,41820.75,41503.56,41795.71,361.69509
2022-01-11 05:00:00,11/01/2022,05:00:00,41795.71,41892.87,41749.1,41822.49,310.59151
2022-01-11 05:30:00,11/01/2022,05:30:00,41822.49,41878.78,41659.66,41684.07,421.37696
2022-01-11 06:00:00,11/01/2022,06:00:00,41684.06,41765.04,41583.43,41593.7,448.35987
2022-01-11 06:30:00,11/01/2022,06:30:00,41593.69,41820.0,41544.64,41805.99,420.13922
2022-01-11 07:00:00,11/01/2022,07:00:00,41805.93,42062.91,41786.24,41928.82,820.82268
2022-01-11 07:30:00,11/01/2022,07:30:00,41928.82,42195.0,41818.18,42153.65,666.80845
2022-01-11 08:00:00,11/01/2022,08:00:00,42155.67,42400.01,42094.01,42173.77,1208.52992
2022-01-11 08:30:00,11/01/2022,08:30:00,42173.77,42208.78,42056.8,42136.12,555.21924
2022-01-11 09:00:00,11/01/2022,09:00:00,42136.12,42277.99,42120.01,42277.98,392.89085
2022-01-11 09:30:00,11/01/2022,09:30:00,42277.99,42382.77,42123.03,42255.41,646.30113
2022-01-11 10:00:00,11/01/2022,10:00:00,42255.41,42387.78,42138.23,42304.65,524.20561
2022-01-11 10:30:00,11/01/2022,10:30:00,42304.65,42315.79,42021.71,42022.52,457.60716
2022-01-11 11:00:00,11/01/2022,11:00:00,42022.52,42180.59,42022.51,42110.0,440.03614
2022-01-11 11:30:00,11/01/2022,11:30:00,42110.0,42232.68,42082.92,42098.52,356.34258
2022-01-11 12:00:00,11/01/2022,12:00:00,42098.51,42156.5,41971.37,42105.0,633.96669
2022-01-11 12:30:00,11/01/2022,12:30:00,42104.99,42225.0,42069.73,42184.89,391.27573
2022-01-11 13:00:00,11/01/2022,13:00:00,42184.89,42280.0,42082.09,42211.05,433.39564
