,datetime,open,high,low,close,volume
0,2022-01-11 00:00:00,41301.89,41723.87,41276.33,41530.2,1735.52175
1,2022-01-11 01:00:00,41530.19,41652.3,41158.99,41346.4,1211.14222
2,2022-01-11 02:00:00,41346.4,41985,41280,41755.85,1617.17996
3,2022-01-11 03:00:00,41755.85,41849.45,41500,41714.18,883.23547
4,2022-01-11 04:00:00,41714.19,41820.75,41503.56,41795.71,628.77649
5,2022-01-11 05:00:00,41795.71,41892.87,41659.66,41684.07,731.96847
6,2022-01-11 06:00:00,41684.06,41820,41544.64,41805.99,868.49909
7,2022-01-11 07:00:00,41805.93,42195,41786.24,42153.65,1487.63113
8,2022-01-11 08:00:00,42155.67,42400.01,42056.8,42136.12,1763.74916
9,2022-01-11 09:00:00,42136.12,42382.77,42120.01,42255.41,1039.19198
10,2022-01-11 10:00:00,42255.41,42387.78,42021.71,42022.52,981.81277
11,2022-01-11 11:00:00,42022.52,42232.68,42022.51,42098.52,796.37872
12,2022-01-11 12:00:00,42098.51,42225,41971.37,42184.89,1025.24242
13,2022-01-11 13:00:00,42184.89,42627.66,42082.09,42223.64,1753.17156
14,2022-01-11 14:00:00,42223.64,42249.99,41843.13,42018.62,1382.30151
15,2022-01-11 15:00:00,42018.61,42148.04,41770,41795.85,1380.50728
16,2022-01-11 16:00:00,41795.84,41823.65,41575,41804.3,1344.55315
17,2022-01-11 17:00:00,41804.3,41956.45,41702.3,41882.24,1151.72397
18,2022-01-11 18:00:00,41882.24,41932.92,41700,41728.99,1138.63015
19,2022-01-11 19:00:00,41728.99,41823.01,41352.32,41369.61,1490.98187
20,2022-01-11 20:00:00,41369.62,42200,41268.93,41802.05,3120.85746
21,2022-01-11 21:00:00,41802.04,42480,41440.69,42463.52,3448.95144
22,2022-01-11 22:00:00,42463.52,43100,42319.24,42381.77,5658.11237
23,2022-01-11 23:00:00,42381.77,42714.04,42351.48,42667.95,1714.85928
24,2022-01-12 00:00:00,42667.94,42916.97,42616.25,42741.44,1244.59764
25,2022-01-12 01:00:00,42741.44,43095.26,42595.68,42803.81,1639.46443
26,2022-01-12 02:00:00,42802.81,42901.3,42684.18,42706.56,829.53329
27,2022-01-12 03:00:00,42706.57,42770.87,42597.41,42650.75,709.04727
28,2022-01-12 04:00:00,42647.14,42886.28,42633.18,42790.01,582.45151
29,2022-01-12 05:00:00,42790,42965,42633.97,42843.05,780.26446
30,2022-01-12 06:00:00,42843.05,42853.99,42562.2,42659.62,960.01088
31,2022-01-12 07:00:00,42659.63,42712.29,42570,42625.81,618.15866
32,2022-01-12 08:00:00,42625.81,42636.05,42450,42590.06,691.0637
33,2022-01-12 09:00:00,42590.07,42733.87,42560.33,42590.69,739.33174
34,2022-01-12 10:00:00,42590.68,42721.68,42518.97,42677.53,711.46017
35,2022-01-12 11:00:00,42677.53,42773.64,42614.19,42701.57,777.70424
36,2022-01-12 12:00:00,42701.58,42867.55,42463.13,42526,1135.97632
37,2022-01-12 13:00:00,42525.99,42717.57,42508.69,42600.01,760.67488
38,2022-01-12 14:00:00,42600,42909.92,42552.79,42879.6,1149.29335
39,2022-01-12 15:00:00,42879.6,42990.01,42640.13,42880.53,1410.11006
40,2022-01-12 16:00:00,42880.53,42911.58,42727.66,42770.1,939.43952
41,2022-01-12 17:00:00,42770.11,43443.6,42683.21,43146.01,3546.11034
42,2022-01-12 18:00:00,43146,43413,43019.37,43383.13,2270.72869
43,2022-01-12 19:00:00,43383.14,44078.4,43334.07,43798.34,5370.9237
44,2022-01-12 20:00:00,43799.46,43938.89,43680.1,43791.41,2103.66631
45,2022-01-12 21:00:00,43791.41,43806.77,43317,43516.52,2327.9902
46,2022-01-12 22:00:00,43516.52,43721.92,43481.73,43695.22,1146.42382
47,2022-01-12 23:00:00,43695.22,43886.26,43609.89,43799.49,1237.43388
48,2022-01-13 00:00:00,43797.33,43844.02,43526.3,43678.85,883.85615
49,2022-01-13 01:00:00,43678.86,43760.94,43573.61,43697.5,737.07066
50,2022-01-13 02:00:00,43697.51,44322,43629.39,44095.95,1878.26728
51,2022-01-13 03:00:00,44095.95,44100,43734.55,43873.46,1047.68775
52,2022-01-13 04:00:00,43873.45,44032.19,43796.29,43888.39,723.70198
53,2022-01-13 05:00:00,43888.39,44075.42,43825.67,43872.14,1049.3817
54,2022-01-13 06:00:00,43872.15,43908.3,43592.99,43605.36,951.96524
55,2022-01-13 07:00:00,43605.36,43660,43516.92,43631.15,812.56837
56,2022-01-13 08:00:00,43631.14,43684.28,43425.29,43433.24,1018.05509
57,2022-01-13 09:00:00,43432.94,43675.93,43422.72,43661.49,1051.10715
58,2022-01-13 10:00:00,43661.49,43719.99,43579.36,43709.85,564.90304
59,2022-01-13 11:00:00,43709.86,43795.44,43630.16,43740.12,833.50494
60,2022-01-13 12:00:00,43740.13,43782.41,43644.37,43703.85,894.61654
61,2022-01-13 13:00:00,43703.85,43843.34,43537.42,43812.04,964.75663
62,2022-01-13 14:00:00,43812.05,43940.01,43743.19,43887.08,1060.85247
63,2022-01-13 15:00:00,43887.08,44014.51,43740.01,43879.44,1064.29274
64,2022-01-13 16:00:00,43879.44,43950,43500,43631.7,1446.27769
65,2022-01-13 17:00:00,43631.7,43800,43575.05,43779.99,941.81265
66,2022-01-13 18:00:00,43780,43811,43659.21,43692.79,736.18225
67,2022-01-13 19:00:00,43692.79,44270,43680,44189.52,3041.69909
68,2022-01-13 20:00:00,44189.53,44500,43126.24,43298.17,4923.57592
69,2022-01-13 21:00:00,43298.17,43500,42871.01,43327.05,3706.69103
70,2022-01-13 22:00:00,43327.04,43423.87,42565.01,42833.43,2352.08003
71,2022-01-13 23:00:00,42835.17,42962.96,42638.42,42903.55,1518.55417
72,2022-01-14 00:00:00,42903.55,42919.83,42600,42708.15,1158.21511
73,2022-01-14 01:00:00,42708.15,42742.68,42311.22,42594.59,2020.54933
74,2022-01-14 02:00:00,42599.63,42870,42500.19,42718.85,1077.41483
75,2022-01-14 03:00:00,42718.84,42888.18,42718.84,42804.83,663.02017
76,2022-01-14 04:00:00,42804.83,42819.35,42466.64,42639.27,908.95046
77,2022-01-14 05:00:00,42638.63,42771.94,42362.91,42510.29,1217.53204
78,2022-01-14 06:00:00,42510.29,42784,42505.57,42617.57,924.11335
79,2022-01-14 07:00:00,42617.57,42677.48,42425.03,42622.38,1350.06467
80,2022-01-14 08:00:00,42622.38,42738.47,42525.22,42646.2,1127.96524
81,2022-01-14 09:00:00,42646.21,42880,42610.02,42756.28,880.88106
82,2022-01-14 10:00:00,42756.28,42843.65,42640.01,42785.01,925.73048
83,2022-01-14 11:00:00,42785,42978.1,42730.35,42893.56,995.77954
84,2022-01-14 12:00:00,42893.56,42955.21,42763.62,42860.19,635.307
85,2022-01-14 13:00:00,42860.18,42875,42350,42477.83,1961.05762
86,2022-01-14 14:00:00,42477.83,42641.37,42244.37,42518.49,1336.35018
87,2022-01-14 15:00:00,42518.49,42688.84,42389.79,42406.01,1017.8562
88,2022-01-14 16:00:00,42406.01,42576.22,41872.71,41897.14,3074.35881
89,2022-01-14 17:00:00,41897.14,42160.79,41725.95,42016.43,2277.49209
90,2022-01-14 18:00:00,42016.43,42306.55,42008.26,42230,1557.33197
